label,occurrences,files,functions,callbacks_sample,flags,source_sample
⭐️ Brand Plan (включено 7 дней/мес),1,src/bot/bot.js,renderFeaturedHome,,mixed_language | long_button,src/bot/bot.js:18322
⭐️ Brand Plan${…},1,src/bot/bot.js,mainMenuBrandKb,a:brand_plan|ws:0,english_or_internal_term,src/bot/bot.js:3617
⭐️ Brand Plan: ${…},1,src/bot/bot.js,bxBrandMenuKb,a:brand_plan|ws:${…},english_or_internal_term,src/bot/bot.js:6246
⭐️ Купить PRO · ${…}⭐️/мес,1,src/bot/bot.js,renderWsPro,a:ws_pro_buy|ws:${…},mixed_language,src/bot/bot.js:15264
⭐️ Открыть Brand Plan,1,src/bot/bot.js,getBot,a:brand_plan|ws:0,mixed_language,src/bot/bot.js:31017
⭐️ Подключить Brand Plan,1,src/bot/bot.js,brandTeamLockedKb,a:brand_plan|ws:${…}|ret:${…},mixed_language,src/bot/bot.js:6000
⭐️ Старт · ${…}⭐️/мес,1,src/bot/bot.js,renderBrandPlan,a:brand_plan_buy|ws:${…}|plan:start|ret:${…},,src/bot/bot.js:18129
⭐️ Увеличить лимит (PRO),1,src/bot/bot.js,renderCuratorList,a:ws_pro|ws:${…},mixed_language,src/bot/bot.js:5614
🆕 Открытые (${…}),1,src/bot/bot.js,renderAdminSupportHome,a:admin_support_list|s:open|p:0,,src/bot/bot.js:38629
🆘 Сводка,1,src/bot/bot.js,renderAdminSupportList,a:admin_support,,src/bot/bot.js:38685
🌍 Гео,1,src/bot/bot.js,renderBrandProfileMore,a:brand_prof_set${…}|f:ge|from:more,,src/bot/bot.js:7033
🌐 Сеть: ❌ ВЫКЛ,1,src/bot/bot.js,bxNeedNetworkKb,a:net_q|ws:${…}|ret:bx,,src/bot/bot.js:8063
🎁 #${…} · ${…},1,src/bot/bot.js,curatorWsKb,a:cur_gw_open|ws:${…}|i:${…},,src/bot/bot.js:18774
🎁 Redeemers,1,src/bot/bot.js,renderAdminInviteVisibilityHome,a:admin_invites_list|k:redeemers|p:0,,src/bot/bot.js:38839
🎁 Инвайты,1,src/bot/bot.js,renderAdminOps,a:admin_invites,,src/bot/bot.js:38485
🎁 Розыгрыш с магазином,1,src/bot/bot.js,bxTypeKb,a:bx_type|ws:${…}|t:giveaway,,src/bot/bot.js:8146
🎁 Сводка,1,src/bot/bot.js,renderAdminInviteVisibilityList,a:admin_invites,,src/bot/bot.js:38860
🎚 Уровень: ${…},1,src/bot/bot.js,renderAdminSysNotice,,,src/bot/bot.js:39553
🎛 Фильтры брендов,1,src/bot/bot.js,renderBrandsDirectory,a:brands_filters|p:${…},,src/bot/bot.js:7644
🎟 Участвовать,1,src/bot/bot.js,participantKb,a:gw_join|i:${…}${…},,src/bot/bot.js:8941
🎥 Обзор/распаковка,1,src/bot/bot.js,bxTypeKb,a:bx_type|ws:${…}|t:review,,src/bot/bot.js:8144
🎫 Brand Pass,1,src/bot/cron.js,issueIntroRetryCredits,a:brand_pass|ws:0,english_or_internal_term,src/bot/cron.js:759
🎬 UGC,1,src/bot/bot.js,bxKindKb,a:bx_kind|ws:${…}|k:ugc,,src/bot/bot.js:8094
🎬 Офферы,1,src/bot/bot.js,getBot,a:bx_home,,src/bot/bot.js:25101
🎬 Офферы (лента),1,src/bot/bot.js,getBot,a:bx_feed|ws:0|p:0|h:mm,,src/bot/bot.js:25097
🎬 Форматы (${…}/${…}),1,src/bot/bot.js,renderProfileMatchingHome,a:pm_pick|ws:${…}|t:f,,src/bot/bot.js:9496
🎯 ${…} · ${…} каналов · ${…}⭐️,1,src/bot/bot.js,renderMatchingHome,,,src/bot/bot.js:18269
🎯 Кому: ${…},1,src/bot/bot.js,renderAdminSysNotice,,,src/bot/bot.js:39555
🎯 Теги (опц.),1,src/bot/bot.js,renderBxOfferDraftStep,a:bx_wtags|ws:${…},,src/bot/bot.js:8301
🎯🔥 Match/Feat: ${…},1,src/bot/bot.js,renderAdminSystem,a:admin_matchfeat_auto_toggle,,src/bot/bot.js:38901
🏆 30 дней,1,src/bot/bot.js,renderOfficialRequestHome,a:off_req|ws:${…}|o:${…}|days:30|p:${…}|back:${…},,src/bot/bot.js:17551
🏆 Выбрать,1,src/bot/bot.js,getBot,a:gw_draw_do|i:${…},,src/bot/bot.js:37364
🏆 Победители,1,src/bot/bot.js,gwOpenKb,a:gw_wv|i:${…},,src/bot/bot.js:8893
🏆 Топ inviter-ов,1,src/bot/bot.js,renderAdminInviteVisibilityHome,a:admin_invites_list|k:top|p:0,mixed_language,src/bot/bot.js:38836
🏆 Экспорт winners,1,src/bot/bot.js,renderGwStats,a:gw_export|i:${…}|t:winners,mixed_language,src/bot/bot.js:18621
🏢 Бренд / Заказчик,1,src/bot/bot.js,renderRoleSelection,a:home_mode|m:brand,,src/bot/bot.js:4296
🏢 Бренды,1,src/bot/bot.js,renderBroadcastAudiencePicker,,,src/bot/bot.js:37979
🏢 Перейти в режим Бренд,1,src/bot/bot.js,getBot,a:home_mode|m:brand,,src/bot/bot.js:31016
🏷 Ниши,1,src/bot/bot.js,renderBrandProfileHome,a:brand_niche_pick${…}|from:home,,src/bot/bot.js:6759
🏷 Ниши (${…}/${…}),1,src/bot/bot.js,renderProfileMatchingHome,a:pm_pick|ws:${…}|t:v,,src/bot/bot.js:9495
🏷 Перейти в бренд,1,src/bot/bot.js,mainMenuCreatorKb,a:ui_mode_set|m:brand|ret:menu,,src/bot/bot.js:3523
🏷 Профиль бренда${…},1,src/bot/bot.js,mainMenuBrandKb,a:brand_profile|ws:0|ret:brand,,src/bot/bot.js:3619
🏷 Теги,1,src/bot/bot.js,renderBrandProfileMore,a:brand_rt_pick${…},,src/bot/bot.js:7043
👀 View,1,src/bot/bot.js,getBot,a:mod_verif_view|uid:${…}|p:0,,src/bot/bot.js:23532
👀 Пример,1,src/bot/bot.js,renderFeaturedHome,,,src/bot/bot.js:18317
👀 Пример результата,1,src/bot/bot.js,renderMatchingHome,,,src/bot/bot.js:18260
👤 ${…},1,src/bot/bot.js,renderProfileMatchingResults,a:pm_view|ws:${…}|id:${…}|p:${…},,src/bot/bot.js:9582
👤 ${…}${…},1,src/bot/bot.js,renderAdminUsers,a:adm_ucard|id:${…}|f:${…}|p:${…},,src/bot/bot.js:40559
👤 Взять себе,1,src/bot/bot.js,renderLeadView,${…}|do:me,,src/bot/bot.js:12440
👤 Кабинет куратора,1,src/bot/bot.js,curatorModeMenuKb,a:cur_home,,src/bot/bot.js:4452
👤 Проверить меня,1,src/bot/gwAccess.js,renderGwAccess,a:gw_access_checkme|i:${…},,src/bot/gwAccess.js:228
👥 Все,1,src/bot/bot.js,renderCuratorAudit,,,src/bot/bot.js:5773
👥 Кураторы,1,src/bot/bot.js,wsSettingsKb,a:cur_manage|ws:${…},,src/bot/bot.js:5419
👥 Кураторы канала,1,src/bot/bot.js,gwOpenKb,a:ws_settings|ws:${…},,src/bot/bot.js:8908
👥 Пользователи,1,src/bot/bot.js,renderAdminOps,a:admin_users|f:all|p:0,,src/bot/bot.js:38478
👥 Список кураторов,1,src/bot/bot.js,curManageKb,a:cur_list|ws:${…},,src/bot/bot.js:5507
👥 Список менеджеров,1,src/bot/bot.js,brandTeamKb,a:bm_list|ws:${…}|ret:${…},,src/bot/bot.js:5980
💠 Категория,1,src/bot/bot.js,renderBrandProfileMore,a:brand_bb_pick${…},,src/bot/bot.js:7037
💬 DM бренду,1,src/bot/bot.js,renderWsIgTemplatesMenu,a:ws_ig_templates_send|ws:${…}|t:dm,mixed_language,src/bot/bot.js:11124
